nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
"Prea multe taxe si impozite si prea multe schimbari legislative,lipsa de predictibilitate.","As face un sistem de impozitare mai aerisit,mai acceptabil de catre contibuabili.As percepe un singur impozit pt toate bunurile detinute de o persoana fizica ,pe care individul sa-l plateasca la inceputul anului.Mai ales pt firme as face la fel,fiecare firma sa stie ca trebuia o  singura data pe an sa-si plateasca datoriile fata de stat si in rest sa se preocupe de dezvoltarea afacerii.","Teoretic de toate (servicii medicale,de securitate,educatie etc) practic ....nervi si batai de cap",0,0,1,pre mult tax impoz pre mult schimbar legisl lips predict,fac sist impozit aeris accept catr contibuabili as percep singur impoz toat bunur detin persoan fizic car individ sa l plateasc incep anului.m ales firm fac fiec firm stie trebui singur dat sa-s plateasc dator fat stat rest preocup dezvolt afacer,teoret toat servic medic secur educat practic nerv bata
Neincrederea,Nu stiu,Nu prea multe,0,0,0,neincred,stiu,pre mult
"Nu incurajeaza intocmirea de afaceri, ci mai degraba determina o crestere a economiei subterane. Multi investitori se tem sa inceapa noi afaceri datorita instabilitatii sistemului fiscal (modificarea cotelor la diferite impozite, aplicarea a unor noi taxe). De asemenea, serviciile oferite de stat,nu sunt la nivelul contributiilor/taxelor/impozitelor platite de populatie.
Exista si o problema legat de siguranta (totusi prea repede sa ne gandim, noi ca studenti) in ceea ce priveste sistemul de pensii din care statul se serveste, profitand de faptul ca oamenii sunt mult mai interesati de aceste contributii in sanatate, pensii, somaj, decat in  plata obligatiilor neramburasabile, impozitele.
Eu consider ca statul roman nu este cel care urmareste sa investeasca in autostrazii, institutii publice, ci mai degraba un consumator care se lupta cu salariile bugetarilor, cu majorarea salariilor celor ,,sus-pusi``,etc.",As incerca sa investesc mai mult si sa reduc cheltuieleile cu personalul (care au o pondere foarte mare in totalul cheltuielilor).,"Simple servicii publice, dar siguranta nu prea, cel putin eu consider ca atata timp cat la conducere se perinda profesionisti care sunt doar obsedati de ideea de aduce ceva nou fara insa, a studia ceea ce s-a stabilit inainte, finantele vor fii intr-o continua miscare si modificare. ",0,0,0,"incurajeaz intocm afacer degrab determin crest econom subteran mult invest inceap afacer dator instabil sist fiscal modific cot difer impoz aplic unor tax asemen servic ofer stat sunt nivel contributiilor taxelor impoz platit populat exist problem legat sigur totus pre reped gand student cee privest sist pens car stat servest profitand fapt oamen sunt mult interes acest contrib sanat pens somaj decat plat oblig neramburas impoz consider stat roman este car urmarest investeasc autostraz instit public degrab consum car lupt salar bugetar major salar celor ,sus-pus",incerc invest mult reduc cheltuiele personal car pond foart mar total cheltuiel,simpl servic public sigur pre putin consider atat timp conduc perind profesionist car sunt doar obsed ide aduc cev far insa stud cee stabil inaint finant intr o continu misc modific
de la an la an creste impozitul,as stabilii  cota si aia ar ramane pentru tot deauna sau as scoate impozitele de tot ,batai de cap,0,0,0,crest impoz,stabil cot raman pentru deaun scoat impoz,bata
Impozite prea mari,"Cresterea venitului brut, micsorarea impozitului pe venit si a taxelor",Anumite servicii,0,0,1,impoz pre mar,crest venit brut micsor impoz venit tax,anum servic
Nu stiu,Depinde de ce se intampla concret acolo.,Plati si cateva beneficii,0,1,0,stiu,depind intampl concret acolo,plat catev benef
Promptitudinea.,Salariile și condițiile ,Birocrație excesiva .,1,1,0,promptitudin,salar condit,birocrat exces
Plata taxelor si a impozitelor ridicate.,REDUCEREA NUMĂRULUI DE TAXE ŞI IMPOZITE!!,"Impactul asupra dezvoltării și siguranței naționale.
O societate civilizată.",0,0,1,plat tax impoz ridic,reduc numar tax impoz,impact asupr dezvoltar sigurante national societ civiliz
Taxele mult prea mari si impozitele,As reduce numarul taxelor fiscale ,Nimic,0,0,0,tax mult pre mar impoz,reduc numar tax fiscal,nimic
"Nu pot sa vorbesc in mod subiectiv, deoarece nu am avut contact direct cu ceea ce se practica in sistemul nostru fiscal actual. Ceea ce pot spune, vine dintr-o perpectiva obiectiva, din ceea ce aud din partea celor din jur, si anume: taxe si impozite prea mari, comparabil cu alte tari. Intr-adevar taxa TVA a scazut, dar cu cat ? 4%. O valoare care nu se resimte, poate de aceea membrii societatii nu isi aduc contributia benevol si la timp.","O intrebare dificila, dat fiind faptul ca nu am avut ocazia sa ""cochetez"", sa spun asa, cu notiunea de finante, respectiv fiscalitate, si toate cele ce tin de sistemul acesta. Dar, presupunand ideea ca as ajunge ministru de finante, se presupune si faptul ca as cunoaste intreaga variatate a codului fiscal, si a celorlalte norme legale ce tin de acest domeniul al finantelor. In mod concret nu pot raspunde ce reglemantari noi as aduce, insa ceea ce as face, avand cunostintele necesare, ar fi sa actionez din punct de vedere al meu, ca si persoana individuala, in concordanta cu ceilalti, si nu din perpectiva functiei detinute, respectiv a puterii ce revine odata cu functia. Pentru ca in drumul spre detinerea inaltor functii, umanitate se pierde, dar nu ar trebui sa uitam ca binele celorlalti conduce spre binele nostru, spre un bine ""comun"".
Politica fiscala ar trebui sa se orienteze mai mult inspre stabilitate, transparenta si predictibilitate. In plus, am avea nevoie de un aparat fiscal mai flexibil care să ducă la îmbunătăţirea contribuţiei fiscalităţii.","Stabilitate? Din nemultumirea oamenilor, presupun ca nu. Incredere? Nici asta. Da, nevoia unui sistem fiscal in echilibrarea economiei unei tari exista. Insa, din ceea ce comenteaza cei din jur, cel actual nu se bazeaza pe normele morale care ar trebui sa il predomine, pe langa cele legale. A scazut Tva, cu doar 4%(e un pas inainte), dar eu cred ca avem nevoie de mult mai mult de atat pentru a avea parte de stabilitate. Stabilitatea ar trebui sa vizeze binele comun, atat a celor ce se afla la conducere(si trag sforile) cat si a celor ce suporta consecintele actiunilor celor mentionati anterior. Nu ma pot pronunta asupra ce ne ofera, pentru ca nu am gasit inca un raspuns concret, dar am precizat mai sus, in mica parte, ce ar trebui sa ne ofere, in vederea echilibrarii balantei. ",0,0,0,vorb subiect deoarec avut contact direct cee practic sist nostru fiscal actual cee spun vin dintr o perpect obiect cee part celor anum tax impoz pre mar compar alte tar intr adevar tax scazut valoar car resimt poat ace membr societ aduc contribut benevol timp,intreb dificil fiind fapt avut ocaz cochet spun notiun finant respect fiscal toat cel sist acest presupunand ide ajung ministru finant presupun fapt cunoast intreag variat cod fiscal celorlalt norm legal acest domen finant concret raspund reglemantar aduc insa cee fac avand cunostint neces action punct veder persoan individual concord ceilalt perpect funct detin respect puter revin odat funct pentru drum spre detin inaltor funct uman pierd treb uitam bin celorlalt conduc spre bin nostru spre bin comun polit fiscal treb orient mult inspre stabil transparent predict plus ave nevoi apar fiscal flexibil car duc imbunatat contribut fiscal,stabil nemultum oamen presupun incred nic asta nevoi unu sist fiscal echilibr econom une tar exist insa cee comenteaz actual bazeaz norm moral car treb predomin lang cel legal scazut doar inaint cred avem nevoi mult mult atat pentru ave part stabil stabil treb vizez bin comun atat celor afla conduc trag sfor celor suport consecint actiun celor mention anterior pronunt asupr ofer pentru gasit inca raspuns concret preciz mic part treb ofer veder echilibrar balante
"Taxe si impozite foarte mari, iar serviciile oferite in schimb sunt de proasta calitate sau chiar inexistente.",Investirea banilor in crearea de locuri de munca.,Incearca sa ofere populatiei un mediu sigur.,0,0,0,tax impoz foart mar servic ofer schimb sunt proast calitat chiar inexistent,invest ban crear locur munc,incearc ofer popul mediu sigur
Sistemul fiscal romanesc= birocratie. Acest exces de acte de care un cetatean are nevoie pentru a realiza ceva este prea mult. Eliminarea lor ar duce la o mai buna functionare a acestuia. ,"Multe lucruri ar trebui schimbate pentru ca acesta sa functioneze bine si corect, dar ceea ce as face in primul rand as incerca sa fac ca toata lumea sa respecte legea. Daca acest lucru s-ar intamplat atunci sistemul nostru fiscal ar fi mult mai bun. O schimbare care eu as face-o ar fi sa reduc aceasta birocratie. ","Pe langa faptul ca platim regulat taxele si impozitele impuse, sistemul fiscal incearca sa ofere serviciile de care ifecare cetatean are nevoie.Ca studenta deocamdata acesta nu imi ofera prea multe servicii.  ",0,0,0,sist fiscal romanesc birocrat acest exces acte car cetatean nevoi pentru realiz cev este pre mult elimin duc bun function acestui,mult lucrur treb schimbat pentru acest function bin corect cee fac prim rand incerc toat lum respect leg dac acest lucru s ar intampl atunc sist nostru fiscal mult schimb car face o reduc aceast birocrat,lang fapt plat regul tax impoz impu sist fiscal incearc ofer servic car ifec cetatean nevoie c student deocamd acest ofer pre mult servic
Taxe prea mari,Impozite date in functie de venitul fiecarei persoane,"Asigurarilor voluntare de sanatate, primele suportate de companie pentru angajatii proprii.",0,1,0,tax pre mar,impoz dat funct venit fiecare persoan,asigurar volunt sanat prim suport compan pentru angaj propr
taxe si accize mari in special la carburanti,obiectul impozitului,finantare de actiuni si obiective necesare societatii,1,0,1,tax acciz mar special carbur,obiect impoz,finant actiun obiect neces societ
Faptul ca sistemul fiscal nu privilegiaza oamenii saraci. ,As ajuta infiintarea mai usoara a intreprinderilor mici.,Reducerea TVA-ului. Dezvoltarea infrastructurii oraselor.,0,1,0,fapt sist fiscal privilegiaz oamen sarac,ajut infiint usoar intreprinder mic,reduc tva dezvolt infrastructur ora
"Angajații plătesc sume uriașe de 65% din ce câștigă prin impozitare directă și indirectă, deși România nu are salariați.
Cel mai bine ar fi scăderea cotei unice la 10% a contribuțiilor sociale .
Nu avem politicieni care să ințeleagă economia și fiscalitatea în rostul si esența lor.","Impunerea de constrângeri tari rău-platnicilor și diminuarea nivelului nominal al impozitelor pe partea de venituri ar trebui să aducă lărgirea bazei de aplicare și creșterea eficienței în colectare.
Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.
Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă.","Stabilește ordinea în care debitele înregistrare de contribuabili vor fi stinse de către autorităţile fiscale, după ce procedura fusese modificată şi pe parcursul anilor trecuţi de Guvern, prin intermediul mai multor acte normative care nu mai sunt în vigoare de la începutul anului 2016. ",0,0,0,angajat plat sum urias castig prin impozit direct indirect des roman salariat bin scad cote unic contribut social avem politicien car inteleag econom fiscal rost esent,impun constranger tar rau platn diminu nivel nominal impoz part venitur treb aduc larg baze aplic crest eficiente colect part cheltuiel treb prim crest eficiente aloc fondur taier oarb sum far modific structur utiliz dezvolt implement une strateg fiscal modern predictib termen mediu lung esential context concurente manifest intre stat europen pentru atrag investit crear locur munc,stabilest ordin car debit inregistr contribu stin catr autor fiscal dup procedur fus modific parcurs ani trecut guvern prin intermed multor acte normat car sunt vigoar incep an 16
Cheltuielile bugetare imense pentru care explicatiile sun vagi .,"As incerca sa i-l fac pe cetatean sa aiba mai multa incredere in sistemul fiscal romanesc, as oferii o mai mare transparenta in privirea cheltuielilor bugetare si nu in cele din urma as incerca sa fac din Romania o tara mai prospera in care cetateanu sa nu se simta furat si ajutat.",Sincer sa fiu nu observ mari benificii.,1,0,0,cheltuiel buget imen pentru car explic vag,incerc cetatean aib mult incred sist fiscal roman ofer mar transparent priv cheltuiel buget cel urma incerc roman tar prosper car cetateanu simt furat ajut,sincer observ mar benif
După părerea mea sunt prea multe taxe si impozite.,"Aș scădea taxele si impozitele, aș crea mai multe locuri de muncă și as mări salariile.",Servicii publice,0,0,1,dup parer sunt pre mult tax impoz,scad tax impoz cre mult locur munc mar salar,servic public
Coruptia,modul de administrare al bugetelor,o mica parte din tot ceea de colecteaza ei defapt ,0,1,0,corupt,mod administr buget,mic part cee colecteaz defapt
