1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
"Prea multă birocrație, taxe prea mari, prea multe texe , tragic, personal care nu are competențele necesare","Sistemul românesc fiscal  are nevoie de mai multă transparență, mai puține taxe, mai puțină birocrație, trebuie să încurajeze investițiile.","Având în vedere ce ar trebui să îmi ofere luând în considerare teoria, nu prea multe"
Nu este destul de bine organizat și distribuit ,As Aloca mult mai mulți bani pentru sănătate și educație ,Nu multe 
Dezorganizarea . ,Nu m-am gândit niciodată la asta .,Nimic
Destule,Multe,Nimic
Modul de utilizare a banilor primiti din taxe si impozite,Orice schimbare care ar aduce rezultate pozitive,.
"Impozitul pe salarii mi se pare putin cam mare, adica cu, cat salariul este mai mare si impozitul si taxele sunt mai mari.","Cu siguranta as reduce costul taxelor si impozitelor dar in acelasi timp as asigura buna functionare a conducerii economice si sociale, si a restor activitatilor .","La unele firme , al 13-lea salar ar fi un beneficiu adus de sistemul fiscal romansesc ; tichetele cadou ,premiile de craciun oferite angajatilor."
Prea multe taxe și impozite ,Aş încuraja investițiile,Sistemul fiscal ne oferă posibilitatea de a plăti taxe și impozite pentru a ajuta dezvoltarea infrastructurii și reabilitarea spitalelor și școlilor. 
Lipsa transparenței ,Cotele de TVA,Siguranța 
Banii nu sunt cheltuiți eficient,Orice ar fi in folosul economiei ,Nu prea multe
Lipsa transparenței ,Tot,Nimic
Lipsa transparentei,Marimea taxelor,Nimic
Cheltuirea eficientă a bugetelor,Distribuirea bugetelor,Birocrație 
cotele TVA,cotele TVA,siguranta
Sunt multumita,Taxele ,Siguranta 
Transparenta,Transparenta,Transparenta
Repartizarea bugetului,Legile,Prea putine beneficii pentru contribuabili
"Poate ca nu avem cel mai bun sistem fiscal, dar nici cel mai rău. Omul sa fie mulțumit cu ce are. ",As încerca să reabiliteze probleme sistemului fiscal. ,Plata de impozite și taxe 
Plăti și impozite prea mari ,Tot ,O cheltuiala 
Taxe si impozite prea mari,"Taxe si impozite mai mici, si banii i as investi in ceva pt tara, ca sa mearga mai bine. ",Nimic
Nu este stabil ,Da,Momentan nu cred ca imi ofera nimic 
Taxele și impozitele prea mari.,Reducerea taxelor și impozitelor la firmele noi înființate .,-
Inspectii fiscale cu frecventa mare si supravegherea insuficienta de ex. A comerciantilor,Frecventa inspectiilor fiscale si penalitati mari in caz de neplata a impozitelor.,Egalitate fata de fisc
"Din pacate sistemul fiscal contine dezechilibre ce ar putea fi corectate , politica fiscala care influenteaza dupa parerea mea cresterea economica.",Calitatea sistemului fiscal . Colectarea veniturilor fiscale sa se faca intr.un mod mult mai eficient .,Atat avantaje cat si dezavantaje . 
taxe si impozite prea mari,"reducerea TVA-ului, micsorarea taxelor si impozitelor catre persoanelor fizice autorizate",foarte putine avantaje
Că nu este respectat,Impozitele,Creanțe fata de bugetul statului
Permanenta amânare a adoptării monedei euro antrenează costuri mari economice,"Este nevoie de mai multă stabilitate, transparenţă şi predictabilitate în politica fiscală",Transparentă 
Neîncrederea și neseriozitatea ,Principiile ,Aproape nimic
-,Nu stiu,-
Nu este suficient de transparent,"Aș introduce modalitati de plata accesibile si rapide pentru taxe si impozite
As sprijinii tinerii antreprenori in start-ul unei afaceri",Strictul necesar pentru o viata relativ recenta
Prea multe taxe și impozite.,"Aș scădea TVA-ul, accizele, taxele și impozitele.",Finanțarea unor acțiuni și obiective necesare  membrilor societății.
Administrarea bugetului. (Impozitele uriase) ,"As incerca sa atrag surse financiare din exteriorul tarii, astfel incat cetatenii sa se bucure de bunastare sociala.","Servicii publice, in schimbul unor plati ciclice si indelungate."
-,Posibil,-
"Prea multe impozite, taxe","Aș scădea TVA-ul, taxele, accizele și impozitele",Economii puternice și stimularea investițiilor
Taxe si impozitele prea mari,Simplizarea sistemelor de plata a taxelor,Nesiguranta
Mă nemulțumește faptul ca impum multe taxe si impozite iar banii de la acestea nu sunt utilizati corespunzător ,Modul in care este organizat,Neîncredere 
Este prea complicat și învins de corupție și birocrație.,Aș împrumuta din practica fiscală internațională cele mai bune modele și aș învăța din greșelile altora.,Nimic
"Inflatia și costurile de finantare ridicate- care descurajeaza investitiile și genereaza pierderi de oportunitati pentru stat și  in mediul de afaceri
","Consider că primul lucru pe care l-aș face ar fi ”filtrarea” RIGUROASĂ a funcționarilor publici. 
De acolo pornește totul. Necalificarea responsabililor duce la un sistem fiscal necompetitent și incorect.
Angajatii trebuie sa dovedeasca ca sunt apti si dispuși sa isi indeplineasca CORECT sarcinile incluse in fisa postului.","Teoretic- garantia ca banii din impozitele si taxele pe care le achitam contribuie la dezvoltarea si progresul statului, si totodata, garantia ca vom beneficia de pensii si alte asigurari in momentul in care nu vom mai fi inclusi in categoria platitorilor de taxe si impozite.
Practic- cumva nesiguranta celor sus-numite... nu se poate afirma cu certitudine ca in cativa ani nu vor fi adoptate noi ”legi” care sa fie in defavoarea noastra ca cetateni.
"
Legislatia prea incarcata si ambigua care de multe ori poate fi interpretabila,Timpul de relationare intre institutile statului. Corlarea lor din punct de vedere a prucrarea datelor,Mai mult ia decat ofera
"Tot, întrucât sistemul fiscal românesc nu e nici pe de parte unul competitiv şi specific unei ţări din UE.","Tot.
Politica fiscală din România are nevoie de stabilitate, transparenţä, predictabilitate, o burocraţie mai puţin excesivă, diminuatea cotelor taxelor, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi, mai ales facilitarea unui dialog coerent şi eficient între autorităţile fiscale şi contribuabili.
Suntem noi o ţară a UE când o companie din România face în fiecare an 39 de plăţi către stat în contul taxelor şi contribuţiilor, de trei ori mai multe faţă de media UE..? Nu prea cred, doar pe foaie suntem.",Nimic.
veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte,Partea de venituri care ar trebui sa aducă extinderea aplicării și creșterea colectării ,"Accize, impozite și taxe"
"In momentul actual nu ma nemultumeste nimic, datorita faptului ca nu sunt foarte implicata pe aceasta parte economica.",As schimba neregulile pe care le intalneste orice cetatean de zi cu zi.,Sistemul fiscal actual imi ofera doar unele indatoriri pe care le are orice cetatean al unei comunitati.
"Gestionarea ineficienta a veniturilor colectate (lipsa calitatii nivelului de trai, dotarea slaba a spitalelor, lipsa infrastructurii moderne si degradarea celei actuale, acordarea ajutoarelor sociale persoanelor care nu sunt in situatii de incapacitate fizica/mentala), lipsa infrastructurii IT (obligativitatea impusa de lege a schimbarii caselor de marcat desi nu se pot conecta la serverele ANAF pentru ca nu sunt functionale), impozitarea insuficienta a bunurilor/veniturilor care nu pot fi justificate, obligativitatea platii a CASS.","Restabilirea cheltuielilor publice si efectuarea controalelor pentru a ne asigura ca veniturile colectate se folosesc in mod corespunzator, dezvoltarea infrastructurii IT pentru a facilita interactiunea dintre contribuabili si sistemul fiscal public, cat si efectuarea controalelor cu minimum de efort, impozitarea mai stricta a veniturilor/bunurilor nejustificate, efectuarea controalelor periodice a agentilor economici, eliminarea CASS si inlocuirea acestuia cu un card pe care lunar sa fie virata de catre angajator o suma de bani din salariu si care sa poata fi utilizata in cazul consultatiilor si interventiilor medicale, cat si pentru achizitionarea medicamentelor si a materialelor necesare pentru acordarea ingrijirilor medicale.",Unele facilitati fiscale.
-,-,-
Nimic ,Nu stiu ,Multe avantaje si dezavantaje
Taxele și impozitele prea mari,"As scuti firmele noi înființate de taxe și impozite
",Un blocaj 
Taxele și impozitele prea mari,As scutii firmele noi înființate de taxe și impozite ,Nu prea multe 
-,-,-
Lipsa de transparență a bugetului de stat,"Impozitul pe profit să ajungă la micile întreprinderi până la 7% (pentru a le putea permite dezvoltarea), iar la firmele de proporții mari să rămână neschimbată","O infrastructură din ce în ce mai bine structurată, dar desigur, la acest nivel mai este de lucru din punctul meu de vedere "
Dezechlbrele care ar trebui corectate.,Ar fi mai multe de schimbat!,"Sistemul Fiscal actual nu oferă, ba din contră, impune taxe și impozite."
"Dezorganizarea, lipsa transparentei",As actiona mai mult in beneficiul contribuabililor,Servicii publice 
Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,Aș mări salariile persoanelor fizice.,Stabilitate.
"De multe ori taxele si impozitele nu acopera toate domeniile cum ar trebui, de exemplu infrastructura Romaniei, capitol la care stam destul de prost.","Daca as fi ministrul finantelor publice as incuraja mai mult firmele mici sa se dezvolte, pentru a crea o economie mai dezvoltata.","Sistemul fiscal actual ofera locuri de munca, servicii administrative pentru toata lumea."
Nimic ,Nimic ,De toate 
Nimic,Nimic,Siguranță
"Unele impozite sunt o aberatie, iar impozitele pe salariile angajatilor sunt prea mari.",Daca as fii ministru de finante as cauta metode de a aduce inapoi cat mai multi romani inapoi acasa.,Sistemul fiscal actual ne cam ofera dezamagire la fiecare final de luna.
Gradul de transparență scăzut referitor la modul de cheltuire a banilor publici ,O evidenta ma clară a modului de cheltuire a banilor publici ,Finanțarea serviciilor publice 
Nu este in totalitate transparent asupra cheltuielilor făcute .,Metodat de plată sa fie electronică pt abolirea evaziunii fiscale.,Servicii publice.
"Fiscalitate complicată din punct de vedere contabil
Interpretabilitatea Codului Fiscal",Aș implementa sistemul fiscal american care e mai simplu și mai clar,Servicii publice deficitare
Oscilarea oborului si a comisioanelor,Impozite si taxe mai mici,"Un servici public de care voi avea nevoie(iluminat public, spitale moderne, gratuitati) "
Nimic,Atragerea de noi investiții și crearea de noi locuri de muncă,Asigură bugetul statului 
Birocrația,Aș simplifica procedurile si as reduce hartiile de completat,O anumita siguranta a demersului public
 Sunt o prelevare fără contracompensație și au caracter obligatoriu.,"Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.","Resursele financiare publice se formeaza pe baza veniturilor fiscale și astfel,
modalitatea de a acoperi nevoile publice depinde foarte mult de impozite, implicit de
componenta fiscală."
Nimic,Personalul ,O anumită siguranță
Nimic. ,Nu știu un răspuns la aceasta întrebare. ,Îmi oferă servicii de asistenta socială. 
Schimbarile prea dese care nu te ajuta la intocmirea unui plan de afaceri.,Urmarirea atenta a distribuirii banilor publici.,O oarecare siguranta si unele schimbari in bine.
"Este prea ""stufos"" și greu de găsit informațiile",Măsurile de sancționare în cazul firmelor.,O egalitate față de toți cetățenii care trebuie să își plătească taxele și impozitele.
Corupția care își face prezența in toate sistemele din Romania!! ,Aproape tot.,Aproape nimic față de cât oferim noi!
"Cum nu m am confruntat cu vreo problema din cauza sistemului fiscal încă, nu pot spune ca ceva ma nemulțumește ",Chiar nu stiu,"O oarecare stabilitate si transparență.
Dacă am inteles bine intrebarea"
Ar trebui modernizat și transparentizat . Deschiderea față de contribuabil si ajutarea lui ar trebui facuta in primul rând și apoi aplicarea de contravenții.,Aș aloca mai mulți bani pentru a încuraja noi antreprenori la înființarea firmelor.,Nu știu.
Faptul că veniturile fiscale și bugetaresunt dependente de veniturile din taxele și impozitele indirecte.,Lărgirea bazei de aplicare și creșterea eficienței în colectare.,Aplicarea normelor fiscale corect
Nivelul ridicat al birocrației,Mai multe investiții și diminuarea cotelor taxelor,Asigurare socială
Impozitul pe salarii , -,Nemultumiri
Faptul ca acesta nu încurajează destul investițiile. ,Aș încuraja investițiile în infrastructură și as oferi mai multe beneficii angajatorilor astfel incat sa fie locuri de munca mai bine plătite. ,"Siguranță că de acei bani pe care i-am plătit sub formă de impozite și taxe, o sa beneficiez în viitor sub forma de servicii publice. "
"Mă nemulțumește că sistemul fiscal românesc este condus de politiceni, ar trebui interzis prin Constituție ca politicienii să dea scutiri de impozite și contribuți","Sunt 2 metode. 2 instrumente. Una e scutirile și a doua - evaziunea. Dacă vrem să vorbim de stabilitate, noi o să începem cu eliminarea scutirilor și să continuăm cu eliminarea evaziunii.",Cred că suntem singura țară cât de cât civilizată unde impozitul pe venit e mai mic decât impozitul pe profit. Acest impozit pe venit de 10% părerea mea e că nu e sustenabil.
seviciile publice nu sunt la nivelul asteptarilor , as elimina numarul mare de taxe fiscale si parafiscale,servicii publice
Impozitele prea ridicate.,As restabile impozitele si as cauta soluti pentru micsorarea acestora astfel ca platirea impozitelor sa nu fie o problema financiara pentru nimeni.,"Impozite ,taxe si contributi sociale."
Grad de transparentă scăzut. Servicii publice slabe calitativ,"As schimba modul de impozitare pe venit. Cine realizează venituri mai mari sa fie totuși impozitat Mai mult decât cel care realizează venituri mai mici, dar nu atât de mult. As schimba cota de impozitare.","Servicii publice, sprijin financiar celor care au nevoie"
..,..,..
-, Aș scade TVA deoarece având o cota mai mică societățile comerciale ar plăti TVA mai mult. Cu alte cuvinte nu ar mai face evaziune fiscală.,-
Sistemul fiscal din România are nevoie de mai multă stabilitate.,M-aș axa pe dezvoltarea și implementarea unei strategii fiscale moderne.,Finanțează serviciile publice.
Totul,Aproximativ tot ,Taxe si impozite
Impozitarea mare din salarul brut,Dezvoltarea sistemului informatic al institutiilor fiscale.,"Asigura colectarea de bani de la cetateni și firme,susținând aplicarea politicilor economice si binele intregii comunitați"
Nivelul ridicat al birocrației. Schimbarea continuă a codului fiscal.,"-As debirocratiza sistemul fiscal si as ramane la un cod fiscal constant si previzibil macar pe o perioadă de 3 ani
-As diferenția firmele mari de microintreprinderi (pentru microintreprinderi si firele mici,  un cod fiscal simplificat )",un nivel de impozit mic fata alte tari din europa 
.,.,"Nu cred ca ne oferă ceva deocamdată, noi avem de platit taxe și impozite."
"faptul ca ne crestem gradul de indatorare, nu alocam destui bani serviciilor de sanatate, educatie etc","modul de distribuire al veniturilor. As aloca mai multi bani in locurile care in viitor imi vor genera venituri din care voi putea acoperi pierderile, as sprijini antreprenorii care creaza noi locuri de munca in zone defavorizate","in opinia mea nu pot spune ca beneficiem deplin de avantajele sistemului fiscal actual, deoarece acesta ar trebui sa fie reglementat sau cel putin sa se focalizeze mai mult pe nevoile actuale ale societatii "
Salariile destul de mici.,Mărirea salariilor.,Servicii publice.
Serviciile,Personalul,..
Nu ii intereseaza tara noastra ,Interesul față de sistem ,Impozite 
Lipsa implicarii in relatia directa cu cetateanul,Gradul de investire a banilor care vin din taxe si impozite,"La nivel de oras (Oradea), parte din fondurile pentru infrastructura orasului "
Lipsa încrederii ,Aș mări gradul de transparență pentru a oferi încredere cetățenilor,"Anumite servicii publice de genul: învățământ, sănătate, protecție, etc.."
Lipsa verificării.,"Reducerea numărului de taxe, încurajarea investițiilor, diminuarea cotelor taxelor.",Nimic bun.
Nu reușește să facă o balanță echilibrată între venituri si cheltuieli ,"Mai putina birocrație, totul sa fie mai transparent, ",Mici gratuități 
Nimic în mod deosebit,Reducerea taxelor și a impozitelor,Oferirea de servicii publice de calitate
-,"reducerea numarului de taxe,incurajarea investitiilor",-
Lipsa transparenței. ,As încerca crearea unu sistem mult mai clar delimitat și mai transparent. ,Ne oferă siguranța 
Dezechilibrul între venituri și cheltuieli ,Impozitele și taxele,Impozite
Impozitele și taxele prea ridicate ,Diminuarea impozitelor și taxelor și incurajarea investițiilor ,"Nu oferă nimic imediat după plata impozitelor și taxelor, este echivalent în timp"
Administrarea eficientă ,Scutirea de impozit la firmele debutante,"Deficitul de încasare a TVA ului

"
Incapacitatea de admimistrare eficienta a instituțiilor publice de către stat,L-aș face mai transparent și as directiona banii publici în infrastructură și in institutiile care au o importanta majora ,Unele servicii publice gratuite
Birocrația excesivă,"Aș duce la o mai bună relaționare intre contribuabili și stat 
Aș încuraja investițiile prin diminuarea unor taxe ","Ne asigura anumite servicii sociale în urma contribuțiilor, dar care nu sunt foarte satisfacatoare"
Taxe și impozite prea mari,A-și scuti firmele noi infintate de taxe și impozite ,Nimic
"Echilibrarea bugetara, în România veniturile fiscale și bugetare sunt dependente din veniturile din taxele și impozitele indirecte. ",Da ,Urmărește realizarea obiectivelor politicii economice și sociale ale statului. 
" Birocratia excesiva este una dintre problemele grave ale Romaniei si se manifesta atat in raportarile fiscale care de multe ori sunt redundante, cat si in numarul mare de ore necesar pentru ca o firma sa-si poata plati taxele – 200 de ore si 39 de operatiuni diferite, conform raportului Doing Business 2013-2014.
"," Simplificarea legislatiei si a raportarilor fiscale, implementarea unui mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe. Eliminarea exceptiilor legate de tratarea din punct de vedere fiscal a diferitele tipuri de venituri ( PFA, DDA, etc )

Este utila comasarea informatiilor din declaratiile fiscale legate de TVA intr-una singura ( declaratiile 300, 301, 306, 307, 390, 394 ).

Ridicarea pragului pana la care o firma poate fi neplatitoare de TVA de la 65.000 euro la 100.000 euro.

Absolut toate declaratiile fiscale sa se poata depuna online, in baza semnaturii electronice.
","În opinia mea, sistemul fiscal actual nu ne oferă foarte multe beneficii, ne oferă mai mult stres decât lucruri bune, dupa părerea mea ar trebui schimbate multe lucruri."
"Diferențele ce se fac între oameni, în funcție de poziția pe care o ocupă în societate.",Gradul de transparență referitor la modul de cheltuire a banului public.,Servicii publice
Companiile au o cota sub medie fata de Europa ,Absolut tot,Nimic bun
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte.",Aș crește eficiența în alocarea fondurilor.,Nimic 
Ca nu creeaza conditiile necesare,Relatia dintre stat si cetatean,-
veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte,Dezvoltarea și implementarea unei strategii fiscale moderne și predictibile pe termen mediu și lung ar fi esențială în contextul concurenței ce se manifestă între statele europene pentru atragerea de noi investiții și crearea de noi locuri de muncă,un impozit pe salarii extrem de mare :)
Partea de venituri ar trebui să aducă creșterea eficienței în colectare.,Reducerea numărului de taxe şi a plăţilor afererente sau încurajarea investiţiilor ,Sprijin pentru crearea de locuri de munca si pentru ocuparea fortei de munca
Transparenta,"Sistemul informatic, as mutat toul in oline, chiar as creea aplicatii","Momentan, sistemul fiscal tinde spre stabilitate"
Nu este formulat pe înțelesul tuturor. ,Crearea de legi care să ajute la echilibrul dintre veniturile si cheltuielile bugetare.,Legi greu de înțeles care pot fi interpretate. 
Taxele ,Amenzile și penalitățile pentru încălcarea legilor fiscale .,Legi ușor de interpretat 
impozitele si taxele sunt destul de mari pentru un stat in dezvoltare,Cotele taxelor si impozitelor si sistemul de taxare,Servicii publice de slaba calitate
Taxele mari,"Mai multe burse, mai mult ajutor pentru start-upuri",impozite care ne pot ajuta in viitor
Taxele,As investi in infrastructura,Venituri care ar putea fii folosite în scopul dezvoltări 
Taxe mari,As acorda mai mult ajutor firmelor mici,Oportunitati
Nu este unul transparent,Scutirea de impozite si taxe la crearea unei afeceri ce contribuie la dezvoltarea mediului economic sau creare locurilor de munca,Servicii publice de o calitate medie
Nu e transparent,Legile,Putina incredere
Birocratia ,As reduce taxele si impozitele ,Contribuie la dezvoltarea economico-sociala 
Birocrația,Relațiile dintre stat si oamenii ,Servici sociale
Mă nemulțumește ANAF-ul ca ne tratează ca pe niște hoți ! 🙃,Aș face ca fiecare vizită a ANAF-ului să fie anunțată și nu pe furiș.,Nu multe înafară de reduceri de venit. 
Este nerambulsabil,Sa fie transparent ,Siguranta
Faptul ca pe zii ce trece își fac apariția a tot mai multe impozite și taxe și tot mai putine facilitați fiscale. ,"Predictibilitatea, transparența, mai multe facilități fiscale pentru angajatorii care crează noi locuri de munca și nu numai.",Cât mai multe piedici in dezvoltare.
"
În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte. Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.","O birocraţie mai puţin excesivă, reducerea numărului de taxe şi a plăţilor aferente, încurajarea investiţiilor şi chiar diminuarea cotelor taxelor, precum şi facilitarea unui dialog eficient şi coerent între autorităţile fiscale şi contribuabili ar putea fi alte plusuri în creşterea competivităţii ", este cel mai important instrument pe care îl are un Guvern pentru a stimula dezvoltarea economiei.
Contributiile prea mari.,"As scadea impozitul pe profit, incurajand astfel noile intreprinderi si as scadea CAS si deducerea personala.",Ne ofera o oarecare imagine asupra sistemului.
Taxe prea mare din salariul brut ,Salariul la privat sa fie în egala balanta ca și cel de la stat,Multe datorii și prea puține beneficii. 
"modul in care sunt taxate accizele la carburanti, sunt foarte mari in comparatie cu salariile.",modul in care sunt evaluate anumite taxe ,"ne ofera anumite beneficii, pe care le observam in orasul din care facem parte "
"Aplicarea impozitului asupra absolut oricărei activități,astefel încât orice vrea să investească,nu va reuși să realizeze un profit deoarece majoritatea se va cheltui pe impozite.",Cuantumul impozitelor,Informații și obligații pe care mulți dintre noi nu le înțelegem.
"prea multa birocratie, prea multe impozite prost gandite","As crea un sistem fiscal care stimuleaza productia si investitiile, as sili institutiile statului sa colaboreze si ajute antreprenorii si nu sa-i amendeze (contribuabililor nu ar trebui sa le fie ''frica'' de anaf), as reduce birocratia.",impovarare fiscala si lipsa de predictibilitate
-,--,-
Impozite și taxe mari,Birocrația prea multă,Impozite și taxe mari
impozite si taxe prea mari ,nu stiu ,nimic 
"Nu lasa oamenii de rand sa supravietuiasca cu firmele mici, le terorizeaza persoanele fizice autorizate. Atatea taxe au de platit ca nu mai raman cu mult.","As face un paradis fiscal sa atrag firmele, nu sa le gonesc din tara.",Stres.
"Avem un cod fiscal foarte amplu, care este greu de descifrat  si de inteles ! Nu toate veniturile sdin taxe si impozite sunt administrate corespunzător!",Creșterea eficienței în alocarea fondurilor.,Transparență! 
Coruptia ,Sa se foloseasca banii contribuabililor in scopuri de dezvoltare,Nu prea multe
Taxe mari.,Scăderea taxelor.,Impozite si taxe pentru orice.
Unele articole sunt greu de înțeles ,Nimic,Nimic 
"Nerespectarea obligaţiilor sistemului fiscal către persoanele fizice/juridice, nivelul de transparenţă/încredere scăzut, , lipsa predictibităţii, lipsa unui aparat fiscal digital/tehnologizat în favoarea unui aparat birocratic mare. Exercitarea unei presiuni ridicate asupra mediului privat în comparaţie cu mediul de stat prin colectarea taxelor şi impozitelor şi a controalelor fiscale frecvente","Desfinţarea sistemului birocratic, încurajarea mediului privat prin stimuli economici/fiscali şi digitalizarea aparatului fiscal","Posibilitatea de a activa pe piaţa naţională, garantează desfăşurarea activităţii într-un mediu concurenţial eficient ( statul având rol de arbitraj în mediul pieţei)"
Dezechilibrele ,Nu m-am gândit niciodată la asta.,Nu m-am interesat in legătura cu subiectul . 
Interesul persoanelor din sistem ,Nu,Nu multe 
Nimic,Nimic,Informații utile 
-,-,-
Sprijinul agenților economici privat ,"Modul de abordare al statului către contribuabil, crearea unor sisteme pentru a sprijini cetățenii și agenții economici. ",Bătăi de cap
Taxele si impozitele,"O mai buna colaborare cu cetatenii, si avantajate pentru acestia",Combaterea evaziunii fiscale
Taxele si impozitele,O mai bună transparenta,Politici economice și sociale
-,-,"Asigurarea învățământului, sănătății, cultura, stimulează buna desfășurare a agenților economici"
Nu mă nemulțumește nimic ,Nu as schimba nimic,Multe informații 
Taxe mari,Taxele,presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă sau posedă un anumit gen de avere să participe prin impozite la constituirea fondurilor generale ale statului;
Nimic,Nimic.,.
Lipsa transparentei,Cam totul,Protecție economica
Prea multe taxe ,Nu,"Prin plata impozitelor, taxelor beneficiem cu toții de Finanțări ale unor obiective "
-,-,Ne oferă servicii de protecție socială 
Una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice  ,Limitarea deductibilitatii costurilor excedentare,Ele finanteaza serviciile publice 
Nu ii cert ,-,-
Nimic  ,...,...
-,Nimic,Îmi creează sentimentul că plătesc un serviciu public de care voi beneficia la un moment dat.
Nimic,Nu,În prezent nimic
Tot. ,Tot. ,Nimic
Nu este la fel de corect pe cum ar trebui sa fie. Oamenii sunt influențați ușor de statut și de mită.,"Dacă as fi ministrul Finanțelor publice probabil as începe prin schimbarea unor măsuri deja existente, ca de exemplu modul de “colectare” a banilor, deoarece in zilele noastre dacă ai pile ești scutit de taxe. Cu timpul oamenii o sa aibă mai multă încredere și o sa se poată realiza mult mai multe obiective.",Prin activitatea sa ajuta la realizarea obiectivelor politicii economice şi sociale a statului. 
Câteodată e instabilă.,Aș cheltui mai mult pentru dezvoltarea sistemului sănătății.,Facultate
nimic,nimic,Creeaza un sistem de impozitare a societatilor echitabil
"Instabilitatea, de organizarea, lipsa de profesionalism, lipsa transparentei ","Legi clare, impozite și taxe realiste ","Minimul necesar, birocrație "
Birocrația.,Birocrația.,Timp pierdut la ghișee.
Ineficienta investitiilor publice si a serviciilor oferite de stat. (bani aruncati pe geam de catre platitorii de taxe) ,"As oferi posibilitatea platii impozitelor pe profit microintreprinderilor, in loc de plata pe cifra de afaceri. ",Nu multe. 
Impozitarea in exces,Ofeririea de servicii publice de calitate. Scaderea taxelor si a accizelor. ,Promisiunea de a imbunatatii si dezvolta infrastuctura.
Neutru,Neutru,Neutru
Creșterea contributiilor la pensii si sanatate,Reducerea taxelor și impozitelor,Ne ajută la combaterea evaziunii fiscale
"NESIGURANTA, SCHIMBAREA CONTINUA A LEGILOR","NU STAPANESC INFORMATIILE ECONOMICE SUFICIENT DE BINE CA SA FIU CAPABILA SA RASPUND LA ACEASTA INTREBARE
",INCERTITUDINEA  CA ESTE BINE ADMINISTRAT
Nu este corect cu toata lumea,As pune accent pe claritate si corectitudine.,Obligatii
Faptul ca nu puteam avea încredere in acest sistem din țara noastră. Si ar trebui sa scadă din valoarea impozitelor și a taxelor ,As încerca sa scad din valoarea taxelor,Multe taxe 
"Sunt foarte puține investiții la nivel național și ar fi necesara stimularea acestora, foarte puțin sprijin pentru ocuparea forței de muncă, pentru șomeri, studenți sau indiferent de caz. ","Aș încerca să stimulez cât mai multe investiții pentru creșterea locurilor de munca și nu numai, crearea unui trai mai bun pentru oameni ca să nu mai fie nevoiți sa părăsească țara pentru locuri de munca mai bine plătite ",. 
Taxele,Impozitele ,Impozite și taxe
Nimic,Nimic,Incredere
"În România, veniturile fiscale și bugetare sunt dependente de veniturile din taxele si impozitele indirecte",Impunerea de constrângeri tari rău-platnicilor și diminuarea nivelului impozitelor pe partea de venituri ,"Un nivel prea mic de stabilitate, transparenţă şi predictabilitate"
Alocarea de fonduri,Cresterea eficientei alocarii de fonduri,Cote relativ mici la impozite
Nu oferă destule facilități. ,Aș încuraja mai mult tinerii prin subvenții și alte stimulente să rămână și să deschidă afaceri în țară și să nu migreze.,Mai multe constrângeri decât facilități 
"Nu am avut prea multa tangenta cu el, asadar nu am nimic de adaugat.","Organizarea,modul de operare",Nimic.
"Faptul că nu există o  transparență totală, plata de taxe și impozite nu îți garantează o siguranță în anumite aspecte pe viitor.",Accentul trebuie pus pe creșterea veniturilor iar cheltuielile să rămână la un nivel acceptabil.,"Sistemul fiscal actual oferă taxe și impozite ridicate, cheltuieli mult prea mari pentru nivelul venitului pe cap de locuitor. Instabilitate economică"
totul,multe lucruri , nimic 
"Faptul că plătim taxe și impozite mult prea mari ,în comparație cu salariile din România.",Aș încerca să găsesc un echilibru între taxe și impozite și facilitățile oferite cetățenilor,Multe taxe 
Inflația si costurile de finanțare ridicate descurajează investițiile și generează pierderi in mediul de afaceri ,"Politica fiscală din Romania are nevoie  de mai multă stabilitate si transparență.
Eu aș micșora taxele si impozitele deoarece acestea sunt o povară pe umerii contribuabililor ",TAXE PREA MARI 
"La sistemul  fiscal românesc mă nemulțumesc contribuțiile sociale ale angajatului, care din punctul meu de vedere au un procent prea mare.","Dacă aș fi în această poziție, aș micșora contribuțiile sociale ale angajatului. ","În opinia mea, sistemul fiscal actual îmi oferă o mulțime de taxe și impozite. "
-,-,-
prea multa birocratie,relatia dintre insitutie si contribuabil,ofera prea putine facilitati contribuabililor.
creşterea numărului de taxe,"Reducerea taxelor, dar şi scăderea TV-ului",Puţină siguranţa pe cât ar trebui contribuabililor
